variant,phase,type,key,value
dem-sierra-S2-trace,return,counts,quality_filter_samples,352347
dem-sierra-S2-trace,return,counts,quality_full_domain_loops,2103
dem-sierra-S2-trace,return,counts,quality_hint_checks,11997
dem-sierra-S2-trace,return,counts,quality_hint_outside,11
dem-sierra-S2-trace,return,counts,quality_hint_rejected,11995
dem-sierra-S2-trace,return,counts,quality_reference_bounds_builds,646179
dem-sierra-S2-trace,return,counts,quality_reference_exact_builds,149715
dem-sierra-S2-trace,return,counts,quality_samples,364344
dem-sierra-S2-trace,return,counts,quality_screen_evaluations,671106
dem-sierra-S2-trace,return,counts,quality_visibility_exact_requests,0
dem-sierra-S2-trace,return,counts,shape_infeasible,18629
dem-sierra-S2-trace,return,counts,source_height_prepared,13592
dem-sierra-S2-trace,return,counts,flip_certified,3
dem-sierra-S2-trace,return,counts,flip_quality_infeasible,84
dem-sierra-S2-trace,return,counts,flip_pointwise_height_damage,3
dem-sierra-S2-trace,return,seconds,derived_publish,0.0025821
dem-sierra-S2-trace,return,seconds,donor_order,0.0005688999999999999
dem-sierra-S2-trace,return,seconds,face_fill,0.0009252000000000002
dem-sierra-S2-trace,return,seconds,height_hint_merge,0.0037679
dem-sierra-S2-trace,return,seconds,mesh_fill,0.0008997999999999999
dem-sierra-S2-trace,return,seconds,mesh_prepare,0.0012424000000000003
dem-sierra-S2-trace,return,seconds,next_order,0.016755700000000002
dem-sierra-S2-trace,return,seconds,pointwise_batch,0.029785499999999993
dem-sierra-S2-trace,return,seconds,prepare,0.010376699999999999
dem-sierra-S2-trace,return,seconds,publish,0.0015348000000000002
dem-sierra-S2-trace,return,seconds,receiver_stage,3.5430329
dem-sierra-S2-trace,return,seconds,reservation,0.004360600000000001
dem-sierra-S2-trace,return,seconds,sample_repair,0.18519510000000006
dem-sierra-S2-trace,return,seconds,task_wall_sum_flip_recovery,0.07497469999999999
dem-sierra-S2-trace,return,seconds,task_wall_sum_height_hint_check,0.0964536
dem-sierra-S2-trace,return,seconds,task_wall_sum_height_hint_query,0.011317999999999998
dem-sierra-S2-trace,return,seconds,task_wall_sum_height_hint_shadow,17.115957300000005
dem-sierra-S2-trace,return,seconds,task_wall_sum_pointwise_quality,23.045499099999997
dem-sierra-S2-trace,return,seconds,task_wall_sum_proposal,0.8403175999999999
dem-sierra-S2-trace,return,seconds,task_wall_sum_receiver_certification,0.6646217000000001
dem-sierra-S2-trace,return,seconds,view_order,0.018065900000000003
dem-sierra-S2-trace,return,seconds,view_projection,0.23296250000000002
dem-sierra-S2-trace,return,seconds,view_refresh,0.3342377
dem-sierra-S2-trace,return,seconds,view_scores,0.08136419999999998
dem-sierra-S2-trace,return,maxima,height_hint_entries,2048.0
dem-sierra-S2-trace,return,maxima,rationalBits,519.0
dem-sierra-S2-trace,static,counts,certified,25
dem-sierra-S2-trace,static,counts,flip_flip_nonconvex_or_existing_diagonal,258
dem-sierra-S2-trace,static,counts,flip_flip_not_interior,160
dem-sierra-S2-trace,static,counts,flip_quality_infeasible,64
dem-sierra-S2-trace,static,counts,height_hint_evictions,22
dem-sierra-S2-trace,static,counts,height_hint_hits,14696
dem-sierra-S2-trace,static,counts,height_hint_queries,14743
dem-sierra-S2-trace,static,counts,height_hint_remember,14717
dem-sierra-S2-trace,static,counts,height_hint_shadow_pointwise_height_damage,14695
dem-sierra-S2-trace,static,counts,pointwise_height_damage,14717
dem-sierra-S2-trace,static,counts,pointwise_progress_unknown,1
dem-sierra-S2-trace,static,counts,pointwise_receiver_certified,26
