case,arm,frame,warmup,hash,faces,raw,examined,receivers,need,feasible,exchanges,free,pairs,conflicts,cpuMs,viewMs,receiverMs,donorMs,reservationMs,sampleRepairMs
dem-sierra-b50000-transactional-t8,A,75,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.946199893951416,0,3.7382999999999997,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,76,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.6368000507354736,0,3.4865999999999997,0,0.00019999999999999998,0
dem-sierra-b50000-transactional-t8,A,77,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.4159998893737793,0,3.1865000000000001,0,0,0
dem-sierra-b50000-transactional-t8,A,78,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.5562999248504639,0,3.4250000000000003,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,79,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.4542000293731689,0,3.2594999999999996,0,0.00079999999999999993,0
dem-sierra-b50000-transactional-t8,A,80,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.5134000778198242,0,3.2506000000000004,0,0.00019999999999999998,0
dem-sierra-b50000-transactional-t8,A,81,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.5023999214172363,0,3.3323,0,0.00019999999999999998,0
dem-sierra-b50000-transactional-t8,A,82,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.5009000301361084,0,3.2753000000000001,0,0.00019999999999999998,0
dem-sierra-b50000-transactional-t8,A,83,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.3970999717712402,0,3.1886000000000001,0,0.00019999999999999998,0
dem-sierra-b50000-transactional-t8,A,84,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.2762999534606934,0,3.1665999999999999,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,85,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,4.1270999908447266,0,3.9006000000000003,0,0.00019999999999999998,0
dem-sierra-b50000-transactional-t8,A,86,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.7176001071929932,0,3.6118999999999999,0,9.9999999999999991e-05,0
dem-sierra-b50000-transactional-t8,A,87,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.6261999607086182,0,3.5238,0,0,0
dem-sierra-b50000-transactional-t8,A,88,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,3.2750000953674316,0,3.1873999999999998,0,0,0
dem-sierra-b50000-transactional-t8,A,89,0,12391839687085977834,11282,145,145,0,0,0,0,0,0,0,4.1256999969482422,0,4.0541,0,0,0
