frame,thread,records,boundsBuilds,exactBuilds,boundsSides,exactSides,boundsHeights,exactHeights
29,5,12,12,12,13628,488,1668,8
29,5,12,12,12,13628,488,1668,60
29,5,12,12,12,23752,638,2500,68
29,5,12,12,12,13532,504,1668,24
29,5,12,12,12,20096,610,2500,72
30,5,6,6,6,742,71,136,10
30,5,6,3,3,162,22,48,2
30,5,12,12,12,7152,332,468,56
30,5,6,6,6,809,78,170,8
30,5,12,12,12,19746,561,1700,120
30,5,12,12,12,35952,696,3268,100
30,5,12,12,12,13532,504,1668,76
31,5,6,6,6,596,65,142,14
31,5,12,12,12,10354,438,900,168
31,5,12,12,12,20032,597,1700,140
31,5,12,12,12,10780,414,868,72
31,5,12,12,12,13532,504,1668,24
31,5,12,12,12,7186,336,468,40
3,6,6,6,6,310,40,62,6
3,6,6,6,6,775,83,136,10
4,6,6,6,6,596,65,142,14
4,6,6,6,6,365,42,68,12
4,6,6,6,6,396,54,88,10
4,6,6,6,6,335,69,78,14
4,6,6,6,3,67,10,10,4
5,6,6,6,6,596,65,142,14
5,6,6,6,6,775,83,136,10
5,6,6,3,3,36,11,10,0
6,6,6,6,4,111,18,28,8
6,6,12,12,12,16004,493,1252,116
6,6,6,3,3,36,11,10,0
7,6,6,6,6,596,65,142,14
7,6,6,3,2,64,14,16,0
7,6,12,12,12,13532,504,1668,56
8,6,6,6,6,1039,99,230,26
8,6,12,12,12,10354,438,900,124
9,6,6,6,4,111,18,28,8
9,6,6,6,6,596,65,142,14
9,6,6,5,4,60,12,14,6
9,6,12,12,12,5128,288,452,8
9,6,12,12,12,13532,504,1668,4
10,6,6,5,4,60,12,14,6
10,6,6,6,4,111,18,28,8
10,6,4,3,3,72,16,22,8
10,6,20,20,19,2578,199,286,132
10,6,6,6,6,458,57,96,10
11,6,6,6,6,596,65,142,14
11,6,6,6,6,365,42,68,12
11,6,6,6,6,396,54,88,10
11,6,6,6,6,335,69,78,14
11,6,12,12,12,11880,392,868,28
11,6,12,12,12,11856,400,868,40
11,6,6,6,6,360,50,78,2
12,6,6,6,6,310,40,62,6
12,6,12,12,12,6840,316,468,72
12,6,6,6,6,360,50,78,2
12,6,6,5,4,60,12,14,6
12,6,12,12,12,10238,398,868,88
12,6,12,12,12,6840,316,468,40
12,6,12,12,12,11880,392,868,44
13,6,6,6,3,67,11,10,2
13,6,6,6,3,67,10,10,0
13,6,6,6,6,688,70,138,16
13,6,12,12,12,12108,482,1668,12
13,6,12,12,12,13628,488,1668,60
14,6,6,6,3,67,11,10,2
14,6,6,6,3,67,10,10,0
14,6,12,12,12,16804,451,1268,84
14,6,12,12,12,7291,344,676,104
